Line,XCo_m,YCo_m
9270,789046.074,1922580.113
9270,789046.062,1922586.234
9270,789046.05,1922592.355
9270,789046.038,1922598.476
9270,789046.026,1922604.597
9270,789046.014,1922610.718
9270,789046.002,1922616.839
9270,789045.99,1922622.96
9270,789045.971,1922629.103
9270,789045.952,1922635.246
9270,789045.933,1922641.389
9270,789045.914,1922647.532
9270,789045.895,1922653.675
9270,789045.876,1922659.818
9270,789045.857,1922665.961
9270,789045.838,1922672.104
9270,789045.819,1922678.247
9270,789045.8,1922684.39
9270,789045.792,1922690.561
9270,789045.784,1922696.732
9270,789045.776,1922702.903
9270,789045.768,1922709.074
9270,789045.76,1922715.245
9270,789045.752,1922721.416
9270,789045.744,1922727.587
9270,789045.736,1922733.758
9270,789045.728,1922739.929
9270,789045.72,1922746.1
9270,789045.709,1922752.289
9270,789045.698,1922758.478
9270,789045.687,1922764.667
9270,789045.676,1922770.856
9270,789045.665,1922777.045
9270,789045.654,1922783.234
9270,789045.643,1922789.423
9270,789045.632,1922795.612
9270,789045.621,1922801.801
9270,789045.61,1922807.99
9270,789045.584,1922814.185
9270,789045.558,1922820.38
9270,789045.532,1922826.575
9270,789045.506,1922832.77
9270,789045.48,1922838.965
9270,789045.454,1922845.16
9270,789045.428,1922851.355
9270,789045.402,1922857.55
9270,789045.376,1922863.745
9270,789045.35,1922869.94
9270,789045.339,1922876.135
9270,789045.328,1922882.33
9270,789045.317,1922888.525
9270,789045.306,1922894.72
9270,789045.295,1922900.915
9270,789045.284,1922907.11
9270,789045.273,1922913.305
9270,789045.262,1922919.5
9270,789045.251,1922925.695
9270,789045.24,1922931.89
9270,789045.25,1922938.086
9270,789045.26,1922944.282
9270,789045.27,1922950.478
9270,789045.28,1922956.674
9270,789045.29,1922962.87
9270,789045.3,1922969.066
9270,789045.31,1922975.262
9270,789045.32,1922981.458
9270,789045.33,1922987.654
9270,789045.34,1922993.85
9270,789045.357,1923000.036
9270,789045.374,1923006.222
9270,789045.391,1923012.408
9270,789045.408,1923018.594
9270,789045.425,1923024.78
9270,789045.442,1923030.966
9270,789045.459,1923037.152
9270,789045.476,1923043.338
9270,789045.493,1923049.524
9270,789045.51,1923055.71
9270,789045.529,1923061.888
9270,789045.548,1923068.066
9270,789045.567,1923074.244
