LINE,X,Y,LSYMB
3,-76909.28,6622451.18,103
3,-76873.93,6622415.82,103
3,-76838.57,6622380.47,103
3,-76803.22,6622345.11,103
3,-76767.86,6622309.76,103
3,-76732.51,6622274.40,103
3,-76697.15,6622239.04,103
3,-76661.80,6622203.69,103
3,-76626.44,6622168.33,103
3,-76591.08,6622132.98,103
3,-76555.73,6622097.62,103
3,-76520.37,6622062.27,103
3,-76485.02,6622026.91,103
3,-76449.66,6621991.56,103
3,-76414.31,6621956.20,103
3,-76378.95,6621920.85,103
3,-76343.60,6621885.49,103
3,-76308.24,6621850.14,103
3,-76272.89,6621814.78,103
3,-76237.53,6621779.43,103
3,-76202.18,6621744.07,103
3,-76166.82,6621708.71,103
3,-76131.47,6621673.36,103
3,-76096.11,6621638.00,103
3,-76060.75,6621602.65,103
3,-76025.40,6621567.29,103
3,-75990.04,6621531.94,103
3,-75954.69,6621496.58,103
3,-75919.33,6621461.23,103
3,-75883.98,6621425.87,103
3,-75848.62,6621390.52,103
3,-75813.27,6621355.16,103
3,-75777.91,6621319.81,103
3,-75742.56,6621284.45,103
3,-75707.20,6621249.09,103
3,-75671.85,6621213.74,103
3,-75636.49,6621178.38,103
3,-75601.14,6621143.03,103
3,-75565.78,6621107.67,103
3,-75530.42,6621072.32,103
3,-75495.07,6621036.96,103
3,-75459.71,6621001.61,103
3,-75424.36,6620966.25,103
3,-75389.00,6620930.90,103
3,-75353.65,6620895.54,103
3,-75318.29,6620860.19,103
3,-75282.94,6620824.83,103
3,-75247.58,6620789.48,103
3,-75212.23,6620754.12,103
3,-75176.87,6620718.76,103
3,-75141.52,6620683.41,103
3,-75106.16,6620648.05,103
3,-75070.81,6620612.70,103
3,-75035.45,6620577.34,103
3,-75000.09,6620541.99,103
3,-74964.74,6620506.63,103
3,-74929.38,6620471.28,103
3,-74894.03,6620435.92,103
3,-74858.67,6620400.57,103
3,-74823.32,6620365.21,103
3,-74787.96,6620329.86,103
3,-74752.61,6620294.50,103
3,-74717.25,6620259.15,103
3,-74681.90,6620223.79,103
3,-74646.54,6620188.43,103
3,-74611.19,6620153.08,103
3,-74575.83,6620117.72,103
3,-74540.48,6620082.37,103
3,-74505.12,6620047.01,103
3,-74469.76,6620011.66,103
3,-74434.41,6619976.30,103
3,-74399.05,6619940.95,103
3,-74363.70,6619905.59,103
3,-74328.34,6619870.24,103
3,-74292.99,6619834.88,103
3,-74257.63,6619799.53,103
3,-74222.28,6619764.17,103
3,-74186.92,6619728.82,103
3,-74151.57,6619693.46,103
3,-74116.21,6619658.10,103
3,-74080.86,6619622.75,103
3,-74045.50,6619587.39,103
3,-74010.15,6619552.04,103
3,-73974.79,6619516.68,103
3,-73939.43,6619481.33,103
3,-73904.08,6619445.97,103
3,-73868.72,6619410.62,103
3,-73833.37,6619375.26,103
3,-73798.01,6619339.91,103
3,-73762.66,6619304.55,103
3,-73727.30,6619269.20,103
3,-73691.95,6619233.84,103
3,-73656.59,6619198.49,103
3,-73621.24,6619163.13,103
3,-73585.88,6619127.77,103
3,-73550.53,6619092.42,103
3,-73515.17,6619057.06,103
3,-73479.82,6619021.71,103
3,-73444.46,6618986.35,103
3,-73409.10,6618951.00,103
3,-73373.75,6618915.64,103
3,-73338.39,6618880.29,103
3,-73303.04,6618844.93,103
3,-73267.68,6618809.58,103
3,-73232.33,6618774.22,103
3,-73196.97,6618738.87,103
3,-73161.62,6618703.51,103
3,-73126.26,6618668.16,103
3,-73090.91,6618632.80,103
3,-73055.55,6618597.44,103
3,-73020.20,6618562.09,103
3,-72984.84,6618526.73,103
3,-72949.48,6618491.38,103
3,-72914.13,6618456.02,103
3,-72878.77,6618420.67,103
3,-72843.42,6618385.31,103
3,-72808.06,6618349.96,103
3,-72772.71,6618314.60,103
3,-72737.35,6618279.25,103
3,-72702.00,6618243.89,103
3,-72666.64,6618208.54,103
3,-72631.29,6618173.18,103
3,-72595.93,6618137.83,103
3,-72560.58,6618102.47,103
3,-72525.22,6618067.11,103
3,-72489.87,6618031.76,103
3,-72454.51,6617996.40,103
3,-72419.15,6617961.05,103
3,-72383.80,6617925.69,103
3,-72348.44,6617890.34,103
3,-72313.09,6617854.98,103
3,-72277.73,6617819.63,103
3,-72242.38,6617784.27,103
3,-72207.02,6617748.92,103
3,-72171.67,6617713.56,103
3,-72136.31,6617678.21,103
3,-72100.96,6617642.85,103
3,-72065.60,6617607.50,103
3,-72030.25,6617572.14,103
3,-71994.89,6617536.78,103
3,-71959.54,6617501.43,103
3,-71924.18,6617466.07,103
3,-71888.82,6617430.72,103
3,-71853.47,6617395.36,103
3,-71818.11,6617360.01,103
3,-71782.76,6617324.65,103
3,-71747.40,6617289.30,103
3,-71712.05,6617253.94,103
3,-71676.69,6617218.59,103
3,-71641.34,6617183.23,103
3,-71605.98,6617147.88,103
3,-71570.63,6617112.52,103
3,-71535.27,6617077.16,103
3,-71499.92,6617041.81,103
3,-71464.56,6617006.45,103
3,-71429.21,6616971.10,103
3,-71393.85,6616935.74,103
3,-71358.49,6616900.39,103
3,-71323.14,6616865.03,103
3,-71287.78,6616829.68,103
3,-71252.43,6616794.32,103
3,-71217.07,6616758.97,103
3,-71181.72,6616723.61,103
3,-71146.36,6616688.26,103
3,-71111.01,6616652.90,103
3,-71075.65,6616617.55,103
3,-71040.30,6616582.19,103
3,-71004.94,6616546.83,103
3,-70969.59,6616511.48,103
3,-70934.23,6616476.12,103
3,-70898.88,6616440.77,103
3,-70863.52,6616405.41,103
3,-70828.16,6616370.06,103
3,-70792.81,6616334.70,103
3,-70757.45,6616299.35,103
3,-70722.10,6616263.99,103
